Ullage  (cm.),Tank,-1,0,1,2,3,4
0,5P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
1,5P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
2,5P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
3,5P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
4,5P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
5,5P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
6,5P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
7,5P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
8,5P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.2
9,5P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.2
10,5P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.2
11,5P,15208.3,15208.3,15208.3,15208.3,15208.3,15208.1
12,5P,15208.3,15208.3,15208.3,15208.3,15208.3,15208
13,5P,15208.3,15208.3,15208.3,15208.3,15208.3,15207.9
14,5P,15208.3,15208.3,15208.3,15208.3,15208.2,15207.8
15,5P,15208.3,15208.3,15208.3,15208.3,15208.2,15207.7
16,5P,15208.3,15208.3,15208.3,15208.3,15208.1,15207.6
17,5P,15208.3,15208.3,15208.3,15208.3,15208,15207.4
18,5P,15208.3,15208.3,15208.3,15208.3,15207.9,15207.2
19,5P,15208.3,15208.3,15208.3,15208.2,15207.8,15207
20,5P,15208.3,15208.3,15208.3,15208.2,15207.7,15206.8
21,5P,15208.3,15208.3,15208.3,15208.1,15207.5,15206.5
22,5P,15208.3,15208.3,15208.3,15208,15207.3,15206.2
23,5P,15208.3,15208.3,15208.3,15207.9,15207.1,15205.9
24,5P,15208.2,15208.3,15208.2,15207.8,15206.9,15205.5
25,5P,15208.1,15208.3,15208.2,15207.6,15206.6,15205.1
26,5P,15208,15208.3,15208.1,15207.4,15206.3,15204.7
27,5P,15207.8,15208.3,15207.9,15207.1,15205.9,15204.3
28,5P,15207.6,15208.1,15207.8,15206.9,15205.5,15203.8
29,5P,15207.4,15207.9,15207.5,15206.5,15205.1,15203.2
