Ullage  (cm.),-1,0,1,2,3,4
0,15153.5,15153.5,15153.5,15153.5,15153.5,15153.5
1,15153.5,15153.5,15153.5,15153.5,15153.5,15153.5
2,15153.5,15153.5,15153.5,15153.5,15153.5,15153.5
3,15153.5,15153.5,15153.5,15153.5,15153.5,15153.5
4,15153.5,15153.5,15153.5,15153.5,15153.5,15153.5
5,15153.5,15153.5,15153.5,15153.5,15153.5,15153.5
6,15153.5,15153.5,15153.5,15153.5,15153.5,15153.5
7,15153.5,15153.5,15153.5,15153.5,15153.5,15153.4
8,15153.5,15153.5,15153.5,15153.5,15153.5,15153.4
9,15153.5,15153.5,15153.5,15153.5,15153.5,15153.3
10,15153.5,15153.5,15153.5,15153.5,15153.5,15153.2
11,15153.5,15153.5,15153.5,15153.5,15153.5,15153.1
12,15153.5,15153.5,15153.5,15153.5,15153.5,15153
13,15153.5,15153.5,15153.5,15153.5,15153.5,15152.8
14,15153.5,15153.5,15153.5,15153.5,15153.4,15152.7
15,15153.5,15153.5,15153.5,15153.5,15153.4,15152.5
16,15153.5,15153.5,15153.5,15153.5,15153.3,15152.3
17,15153.5,15153.5,15153.5,15153.5,15153.2,15152
18,15153.5,15153.5,15153.5,15153.5,15153,15151.8
19,15153.5,15153.5,15153.5,15153.5,15152.9,15151.5
20,15153.5,15153.5,15153.5,15153.5,15152.7,15151.2
21,15153.5,15153.5,15153.5,15153.4,15152.5,15150.9
22,15153.5,15153.5,15153.5,15153.3,15152.3,15150.5
23,15153.5,15153.5,15153.5,15153.2,15152.1,15150.2
24,15153.5,15153.5,15153.5,15153.1,15151.8,15149.8
25,15153.5,15153.5,15153.5,15152.9,15151.6,15149.4
26,15153.5,15153.5,15153.5,15152.8,15151.3,15149
27,15153.5,15153.5,15153.4,15152.6,15151,15148.5
28,15153.5,15153.5,15153.3,15152.4,15150.6,15148.1
29,15153.4,15153.5,15153.2,15152.2,15150.3,15147.6
30,15153.4,15153.5,15153.1,15151.9,15149.9,15147.1
31,15153.3,15153.5,15153,15151.6,15149.4,15146.5
32,15153.2,15153.4,15152.7,15151.2,15148.9,15145.8
33,15153,15153.2,15152.4,15150.8,15148.3,15145.1
34,15152.8,15152.9,15152.1,15150.3,15147.7,15144.3
35,15152.5,15152.6,15151.6,15149.7,15147,15143.5
36,15152.2,15152.2,15151.1,15149.1,15146.2,15142.5
37,15151.8,15151.7,15150.6,15148.4,15145.4,15141.6
38,15151.3,15151.2,15150,15147.7,15144.5,15140.5
39,15150.8,15150.6,15149.2,15146.8,15143.5,15139.4
40,15150.2,15149.9,15148.5,15146,15142.5,15138.3
41,15149.5,15149.1,15147.6,15145,15141.5,15137.1
42,15148.8,15148.3,15146.7,15144,15140.3,15135.8
43,15148,15147.4,15145.7,15142.9,15139.1,15134.4
44,15147.1,15146.4,15144.6,15141.8,15137.8,15133
45,15146.1,15145.3,15143.5,15140.5,15136.5,15131.6
46,15145,15144.2,15142.3,15139.2,15135.1,15130
47,15143.9,15143,15141,15137.9,15133.6,15128.4
48,15142.7,15141.7,15139.6,15136.4,15132.1,15126.8
49,15141.5,15140.4,15138.2,15134.9,15130.5,15125
50,15140.1,15138.9,15136.7,15133.3,15128.8,15123.3
51,15138.7,15137.4,15135.1,15131.6,15127.1,15121.4
52,15137.2,15135.9,15133.4,15129.9,15125.2,15119.5
53,15135.7,15134.2,15131.7,15128.1,15123.3,15117.5
54,15134.1,15132.5,15129.9,15126.2,15121.3,15115.4
55,15132.4,15130.7,15128,15124.2,15119.3,15113.3
56,15130.6,15128.9,15126.1,15122.2,15117.2,15111.1
57,15128.7,15126.9,15124,15120.1,15115,15108.8
58,15126.8,15124.9,15122,15117.9,15112.7,15106.5
59,15124.8,15122.9,15119.8,15115.6,15110.4,15104
60,15122.8,15120.7,15117.5,15113.3,15108,15101.5
61,15120.6,15118.5,15115.2,15110.9,15105.5,15099
62,15118.4,15116.2,15112.9,15108.4,15102.9,15096.3
63,15116.1,15113.8,15110.4,15105.9,15100.3,15093.6
64,15113.8,15111.4,15107.9,15103.3,15097.6,15090.8
65,15111.4,15108.9,15105.3,15100.6,15094.8,15087.9
66,15108.9,15106.3,15102.6,15097.8,15092,15085
67,15106.3,15103.6,15099.8,15095,15089,15082
68,15103.6,15100.9,15097,15092.1,15086,15078.9
69,15100.9,15098.1,15094.1,15089.1,15083,15075.7
70,15098.1,15095.2,15091.1,15086,15079.8,15072.5
71,15095.2,15092.2,15088.1,15082.9,15076.6,15069.2
72,15092.3,15089.2,15085,15079.7,15073.3,15065.8
73,15089.3,15086.1,15081.8,15076.4,15070,15062.4
74,15086.2,15082.9,15078.5,15073.1,15066.5,15058.9
75,15083,15079.7,15075.2,15069.7,15063,15055.3
76,15079.8,15076.4,15071.8,15066.2,15059.4,15051.6
77,15076.5,15073,15068.3,15062.6,15055.8,15047.9
78,15073.1,15069.5,15064.8,15059,15052,15044
79,15069.7,15066,15061.1,15055.2,15048.2,15040.2
80,15066.2,15062.4,15057.5,15051.5,15044.4,15036.2
81,15062.6,15058.7,15053.7,15047.6,15040.4,15032.2
82,15058.9,15054.9,15049.8,15043.7,15036.4,15028.1
83,15055.1,15051.1,15045.9,15039.7,15032.3,15023.9
84,15051.3,15047.2,15041.9,15035.6,15028.2,15019.6
85,15047.4,15043.2,15037.9,15031.4,15023.9,15015.3
86,15043.5,15039.2,15033.7,15027.2,15019.6,15010.9
87,15039.4,15035,15029.5,15022.9,15015.2,15006.4
88,15035.3,15030.8,15025.2,15018.6,15010.8,15001.9
89,15031.2,15026.6,15020.9,15014.1,15006.2,14997.3
90,15026.9,15022.2,15016.5,15009.6,15001.6,14992.6
91,15022.6,15017.8,15012,15005,14997,14987.8
92,15018.2,15013.3,15007.4,15000.3,14992.2,14983
93,15013.7,15008.8,15002.7,14995.6,14987.4,14978.1
94,15009.2,15004.1,14998,14990.8,14982.5,14973.1
95,15004.5,14999.4,14993.2,14985.9,14977.5,14968
96,14999.9,14994.7,14988.4,14981,14972.5,14962.9
97,14995.1,14989.8,14983.4,14976,14967.4,14957.7
98,14990.3,14984.9,14978.4,14970.9,14962.2,14952.5
99,14985.3,14979.9,14973.3,14965.7,14956.9,14947.1
100,14980.4,14974.8,14968.2,14960.4,14951.6,14941.7
101,14975.3,14969.7,14962.9,14955.1,14946.2,14936.3
102,14970.2,14964.5,14957.6,14949.7,14940.7,14930.7
103,14965,14959.2,14952.3,14944.3,14935.2,14925.1
104,14959.7,14953.8,14946.8,14938.7,14929.6,14919.5
105,14954.4,14948.4,14941.3,14933.1,14923.9,14913.8
106,14948.9,14942.9,14935.7,14927.4,14918.1,14908
107,14943.4,14937.3,14930,14921.7,14912.3,14902.1
108,14937.9,14931.6,14924.3,14915.9,14906.4,14896.3
109,14932.2,14925.9,14918.5,14910,14900.5,14890.3
110,14926.5,14920.1,14912.6,14904,14894.4,14884.3
111,14920.7,14914.2,14906.6,14897.9,14888.4,14878.3
112,14914.9,14908.3,14900.6,14891.8,14882.2,14872.2
113,14909,14902.3,14894.5,14885.7,14876,14866
114,14902.9,14896.2,14888.3,14879.4,14869.8,14859.8
115,14896.9,14890,14882.1,14873.1,14863.5,14853.6
116,14890.7,14883.8,14875.8,14866.7,14857.2,14847.3
117,14884.5,14877.5,14869.4,14860.3,14850.8,14840.9
118,14878.2,14871.1,14862.9,14853.8,14844.3,14834.5
119,14871.8,14864.6,14856.4,14847.3,14837.8,14828.1
120,14865.4,14858.1,14849.8,14840.7,14831.3,14821.6
121,14858.9,14851.5,14843.1,14834,14824.7,14815
122,14852.3,14844.8,14836.4,14827.3,14818,14808.4
123,14845.6,14838.1,14829.6,14820.6,14811.3,14801.7
124,14838.9,14831.3,14822.7,14813.8,14804.5,14795
125,14832.1,14824.4,14815.8,14806.9,14797.7,14788.2
126,14825.3,14817.4,14808.9,14800,14790.8,14781.4
127,14818.4,14810.4,14801.9,14793,14783.9,14774.5
128,14811.4,14803.3,14794.8,14786,14777,14767.6
129,14804.4,14796.2,14787.8,14779,14770,14760.7
130,14797.3,14789.1,14780.7,14772,14763,14753.8
131,14790.2,14782,14773.6,14765,14756.1,14746.9
132,14783.2,14774.8,14766.5,14757.9,14749.1,14739.9
133,14776.1,14767.7,14759.4,14750.9,14742.1,14733
134,14768.9,14760.6,14752.3,14743.8,14735.1,14726
135,14761.8,14753.5,14745.1,14736.7,14728,14719.1
136,14754.7,14746.4,14738,14729.6,14721,14712.1
137,14747.6,14739.3,14730.9,14722.5,14714,14705.1
138,14740.5,14732.1,14723.8,14715.4,14706.9,14698.1
139,14733.4,14725,14716.7,14708.3,14699.8,14691.1
140,14726.3,14717.9,14709.6,14701.2,14692.8,14684.1
141,14719.1,14710.8,14702.5,14694.1,14685.7,14677
142,14712,14703.7,14695.3,14687,14678.6,14670
143,14704.9,14696.6,14688.2,14679.9,14671.5,14662.9
144,14697.8,14689.5,14681.1,14672.7,14664.4,14655.9
145,14690.7,14682.3,14674,14665.6,14657.2,14648.8
146,14683.6,14675.2,14666.9,14658.5,14650.1,14641.7
147,14676.4,14668.1,14659.8,14651.4,14643,14634.6
148,14669.3,14661,14652.6,14644.3,14635.9,14627.5
149,14662.2,14653.9,14645.5,14637.2,14628.8,14620.4
150,14655.1,14646.8,14638.4,14630,14621.7,14613.3
151,14648,14639.6,14631.3,14622.9,14614.6,14606.2
152,14640.9,14632.5,14624.2,14615.8,14607.4,14599
153,14633.8,14625.4,14617.1,14608.7,14600.3,14591.9
154,14626.6,14618.3,14610,14601.6,14593.2,14584.8
155,14619.5,14611.2,14602.8,14594.5,14586.1,14577.7
156,14612.4,14604.1,14595.7,14587.4,14579,14570.6
157,14605.3,14597,14588.6,14580.2,14571.9,14563.5
158,14598.2,14589.8,14581.5,14573.1,14564.7,14556.3
159,14591.1,14582.7,14574.4,14566,14557.6,14549.2
