Ullage  (cm.),-1,0,1,2,3,4
101,15064.1,15065.9,15066.6,15066.4,15065.1,15062.9
102,15059.5,15061.3,15062,15061.8,15060.6,15058.4
103,15054.8,15056.6,15057.4,15057.2,15056,15053.8
104,15050,15051.8,15052.7,15052.5,15051.3,15049.1
105,15045.2,15047,15047.9,15047.7,15046.6,15044.4
106,15040.3,15042.1,15043,15042.9,15041.7,15039.6
107,15035.3,15037.2,15038.1,15037.9,15036.8,15034.7
108,15030.3,15032.2,15033.1,15033,15031.9,15029.8
109,15025.1,15027,15028,15027.9,15026.8,15024.7
110,15019.9,15021.9,15022.8,15022.7,15021.7,15019.6
111,15014.7,15016.6,15017.6,15017.5,15016.5,15014.5
112,15009.3,15011.3,15012.3,15012.3,15011.2,15009.2
113,15003.9,15005.9,15006.9,15006.9,15005.9,15003.9
114,14998.4,15000.4,15001.4,15001.5,15000.5,14998.5
115,14992.8,14994.9,14995.9,14996,14995,14993.1
116,14987.2,14989.3,14990.3,14990.4,14989.4,14987.5
117,14981.5,14983.6,14984.7,14984.7,14983.8,14981.9
118,14975.7,14977.8,14978.9,14979,14978.1,14976.3
119,14969.9,14972,14973.1,14973.2,14972.3,14970.5
120,14963.9,14966.1,14967.2,14967.3,14966.5,14964.8
121,14957.9,14960.1,14961.2,14961.4,14960.6,14958.9
122,14951.8,14954,14955.2,14955.4,14954.6,14953
123,14945.7,14947.9,14949.1,14949.3,14948.5,14947
124,14939.5,14941.7,14942.9,14943.1,14942.4,14941
125,14933.2,14935.4,14936.7,14936.9,14936.3,14934.9
126,14926.8,14929.1,14930.3,14930.6,14930,14928.8
127,14920.4,14922.7,14923.9,14924.2,14923.7,14922.6
128,14913.9,14916.2,14917.5,14917.8,14917.4,14916.3
129,14907.3,14909.6,14910.9,14911.3,14911,14910
130,14900.6,14903,14904.3,14904.7,14904.5,14903.7
131,14893.9,14896.3,14897.6,14898.1,14898,14897.3
132,14887.1,14889.5,14890.9,14891.5,14891.5,14890.9
133,14880.2,14882.6,14884,14884.7,14884.9,14884.4
134,14873.3,14875.7,14877.2,14878,14878.2,14877.9
135,14866.4,14868.7,14870.2,14871.2,14871.5,14871.3
136,14859.4,14861.6,14863.2,14864.3,14864.8,14864.7
137,14852.3,14854.5,14856.2,14857.4,14858,14858.1
138,14845.3,14847.3,14849.2,14850.5,14851.2,14851.4
139,14838.2,14840.2,14842.1,14843.5,14844.4,14844.7
140,14831.1,14833.1,14835,14836.5,14837.5,14837.9
141,14823.9,14825.9,14827.9,14829.5,14830.6,14831.2
142,14816.8,14818.8,14820.7,14822.5,14823.7,14824.3
143,14809.7,14811.6,14813.6,14815.4,14816.7,14817.5
144,14802.5,14804.5,14806.5,14808.3,14809.7,14810.6
145,14795.4,14797.3,14799.3,14801.2,14802.7,14803.7
146,14788.2,14790.2,14792.2,14794.1,14795.7,14796.8
147,14781.1,14783.1,14785,14787,14788.7,14789.9
148,14773.9,14775.9,14777.9,14779.8,14781.6,14782.9
149,14766.8,14768.8,14770.7,14772.7,14774.5,14775.9
150,14759.7,14761.6,14763.6,14765.6,14767.4,14768.9
151,14752.5,14754.5,14756.5,14758.4,14760.3,14761.9
152,14745.4,14747.4,14749.3,14751.3,14753.2,14754.8
153,14738.2,14740.2,14742.2,14744.1,14746.1,14747.7
154,14731.1,14733.1,14735,14737,14738.9,14740.7
155,14724,14725.9,14727.9,14729.8,14731.8,14733.6
156,14716.8,14718.8,14720.8,14722.7,14724.6,14726.5
157,14709.7,14711.7,14713.6,14715.6,14717.5,14719.4
158,14702.5,14704.5,14706.5,14708.4,14710.4,14712.2
159,14695.4,14697.4,14699.3,14701.3,14703.2,14705.1
160,14688.3,14690.2,14692.2,14694.1,14696.1,14698
161,14681.1,14683.1,14685.1,14687,14688.9,14690.8
162,14674,14675.9,14677.9,14679.9,14681.8,14683.7
163,14666.8,14668.8,14670.8,14672.7,14674.6,14676.6
164,14659.7,14661.7,14663.6,14665.6,14667.5,14669.4
165,14652.5,14654.5,14656.5,14658.4,14660.4,14662.3
166,14645.4,14647.4,14649.3,14651.3,14653.2,14655.1
167,14638.3,14640.2,14642.2,14644.2,14646.1,14648
168,14631.1,14633.1,14635.1,14637,14638.9,14640.9
169,14624,14626,14627.9,14629.9,14631.8,14633.7
170,14616.8,14618.8,14620.8,14622.7,14624.7,14626.6
171,14609.7,14611.7,14613.6,14615.6,14617.5,14619.4
172,14602.6,14604.5,14606.5,14608.4,14610.4,14612.3
173,14595.4,14597.4,14599.4,14601.3,14603.2,14605.1
174,14588.3,14590.3,14592.2,14594.2,14596.1,14598
175,14581.1,14583.1,14585.1,14587,14589,14590.9
176,14574,14576,14577.9,14579.9,14581.8,14583.7
177,14566.9,14568.8,14570.8,14572.7,14574.7,14576.6
178,14559.7,14561.7,14563.7,14565.6,14567.5,14569.4
179,14552.6,14554.5,14556.5,14558.5,14560.4,14562.3
180,14545.4,14547.4,14549.4,14551.3,14553.2,14555.2
181,14538.3,14540.3,14542.2,14544.2,14546.1,14548
182,14531.1,14533.1,14535.1,14537,14539,14540.9
183,14524,14526,14527.9,14529.9,14531.8,14533.7
184,14516.9,14518.8,14520.8,14522.8,14524.7,14526.6
185,14509.7,14511.7,14513.7,14515.6,14517.5,14519.4
186,14502.6,14504.6,14506.5,14508.5,14510.4,14512.3
187,14495.4,14497.4,14499.4,14501.3,14503.3,14505.2
188,14488.3,14490.3,14492.2,14494.2,14496.1,14498
189,14481.2,14483.1,14485.1,14487,14489,14490.9
190,14474,14476,14478,14479.9,14481.8,14483.7
191,14466.9,14468.9,14470.8,14472.8,14474.7,14476.6
192,14459.7,14461.7,14463.7,14465.6,14467.5,14469.4
193,14452.6,14454.6,14456.5,14458.5,14460.4,14462.3
194,14445.5,14447.4,14449.4,14451.3,14453.3,14455.2
195,14438.3,14440.3,14442.3,14444.2,14446.1,14448
196,14431.2,14433.2,14435.1,14437.1,14439,14440.9
197,14424,14426,14428,14429.9,14431.8,14433.7
198,14416.9,14418.9,14420.8,14422.8,14424.7,14426.6
199,14409.7,14411.7,14413.7,14415.6,14417.6,14419.5
200,14402.6,14404.6,14406.5,14408.5,14410.4,14412.3
201,14395.5,14397.4,14399.4,14401.3,14403.3,14405.2
202,14388.3,14390.3,14392.3,14394.2,14396.1,14398
203,14381.2,14383.2,14385.1,14387.1,14389,14390.9
204,14374,14376,14378,14379.9,14381.8,14383.7
205,14366.9,14368.9,14370.8,14372.8,14374.7,14376.6
206,14359.8,14361.7,14363.7,14365.6,14367.6,14369.5
207,14352.6,14354.6,14356.6,14358.5,14360.4,14362.3
208,14345.5,14347.5,14349.4,14351.4,14353.3,14355.2
209,14338.3,14340.3,14342.3,14344.2,14346.1,14348
210,14331.2,14333.2,14335.1,14337.1,14339,14340.9
211,14324.1,14326,14328,14329.9,14331.9,14333.8
212,14316.9,14318.9,14320.9,14322.8,14324.7,14326.6
213,14309.8,14311.8,14313.7,14315.7,14317.6,14319.5
214,14302.6,14304.6,14306.6,14308.5,14310.4,14312.3
215,14295.5,14297.5,14299.4,14301.4,14303.3,14305.2
216,14288.3,14290.3,14292.3,14294.2,14296.1,14298
217,14281.2,14283.2,14285.2,14287.1,14289,14290.9
218,14274.1,14276,14278,14279.9,14281.9,14283.8
219,14266.9,14268.9,14270.9,14272.8,14274.7,14276.6
220,14259.8,14261.8,14263.7,14265.7,14267.6,14269.5
221,14252.6,14254.6,14256.6,14258.5,14260.4,14262.3
222,14245.5,14247.5,14249.4,14251.4,14253.3,14255.2
223,14238.4,14240.3,14242.3,14244.2,14246.2,14248.1
224,14231.2,14233.2,14235.2,14237.1,14239,14240.9
225,14224.1,14226.1,14228,14230,14231.9,14233.8
226,14216.9,14218.9,14220.9,14222.8,14224.7,14226.6
227,14209.8,14211.8,14213.7,14215.7,14217.6,14219.5
228,14202.7,14204.6,14206.6,14208.5,14210.4,14212.3
229,14195.5,14197.5,14199.5,14201.4,14203.3,14205.2
230,14188.4,14190.4,14192.3,14194.3,14196.2,14198.1
231,14181.2,14183.2,14185.2,14187.1,14189,14190.9
232,14174.1,14176.1,14178,14180,14181.9,14183.8
233,14167,14168.9,14170.9,14172.8,14174.7,14176.6
234,14159.8,14161.8,14163.8,14165.7,14167.6,14169.5
235,14152.7,14154.7,14156.6,14158.5,14160.5,14162.3
236,14145.5,14147.5,14149.5,14151.4,14153.3,14155.2
237,14138.4,14140.4,14142.3,14144.3,14146.2,14148.1
238,14131.2,14133.2,14135.2,14137.1,14139,14140.9
239,14124.1,14126.1,14128,14130,14131.9,14133.8
240,14117,14118.9,14120.9,14122.8,14124.8,14126.6
241,14109.8,14111.8,14113.8,14115.7,14117.6,14119.5
242,14102.7,14104.7,14106.6,14108.6,14110.5,14112.4
243,14095.5,14097.5,14099.5,14101.4,14103.3,14105.2
244,14088.4,14090.4,14092.3,14094.3,14096.2,14098.1
245,14081.3,14083.2,14085.2,14087.1,14089,14090.9
246,14074.1,14076.1,14078.1,14080,14081.9,14083.8
247,14067,14069,14070.9,14072.9,14074.8,14076.6
248,14059.8,14061.8,14063.8,14065.7,14067.6,14069.5
249,14052.7,14054.7,14056.6,14058.6,14060.5,14062.4
250,14045.5,14047.5,14049.5,14051.4,14053.3,14055.2
251,14038.4,14040.4,14042.4,14044.3,14046.2,14048.1
252,14031.3,14033.3,14035.2,14037.1,14039.1,14040.9
253,14024.1,14026.1,14028.1,14030,14031.9,14033.8
254,14017,14019,14020.9,14022.9,14024.8,14026.7
255,14009.8,14011.8,14013.8,14015.7,14017.6,14019.5
256,14002.7,14004.7,14006.6,14008.6,14010.5,14012.4
257,13995.6,13997.5,13999.5,14001.4,14003.3,14005.2
