Ullage  (cm.),Tank,-1,0,1,2,3,4
0,4S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
1,4S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
2,4S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
3,4S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
4,4S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
5,4S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
6,4S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.2
7,4S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.2
8,4S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.1
9,4S,15208.3,15208.3,15208.3,15208.3,15208.3,15208
10,4S,15208.3,15208.3,15208.3,15208.3,15208.3,15207.9
11,4S,15208.3,15208.3,15208.3,15208.3,15208.3,15207.8
12,4S,15208.3,15208.3,15208.3,15208.3,15208.3,15207.7
13,4S,15208.3,15208.3,15208.3,15208.3,15208.2,15207.6
14,4S,15208.3,15208.3,15208.3,15208.3,15208.2,15207.4
15,4S,15208.3,15208.3,15208.3,15208.3,15208.1,15207.2
16,4S,15208.3,15208.3,15208.3,15208.3,15208,15207
17,4S,15208.3,15208.3,15208.3,15208.3,15207.9,15206.8
18,4S,15208.3,15208.3,15208.3,15208.3,15207.8,15206.5
19,4S,15208.3,15208.3,15208.3,15208.2,15207.6,15206.2
20,4S,15208.3,15208.3,15208.3,15208.2,15207.5,15205.9
21,4S,15208.3,15208.3,15208.3,15208.1,15207.3,15205.6
22,4S,15208.3,15208.3,15208.3,15208.1,15207,15205.2
23,4S,15208.3,15208.3,15208.3,15207.9,15206.8,15204.8
24,4S,15208.3,15208.3,15208.3,15207.8,15206.5,15204.3
25,4S,15208.3,15208.3,15208.3,15207.6,15206.2,15203.8
26,4S,15208.3,15208.3,15208.2,15207.4,15205.8,15203.3
27,4S,15208.3,15208.3,15208.2,15207.2,15205.4,15202.7
28,4S,15208.3,15208.3,15208,15206.9,15205,15202.1
29,4S,15208.2,15208.3,15207.9,15206.6,15204.5,15201.5
30,4S,15208.1,15208.3,15207.7,15206.3,15204,15200.8
31,4S,15208,15208.2,15207.5,15205.9,15203.4,15200.1
32,4S,15207.8,15208,15207.2,15205.4,15202.8,15199.3
