Ullage  (cm.),Tank,-1,0,1,2,3,4
0,5S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
1,5S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
2,5S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
3,5S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
4,5S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
5,5S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
6,5S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
7,5S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
8,5S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.2
9,5S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.2
10,5S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.2
11,5S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.1
12,5S,15208.3,15208.3,15208.3,15208.3,15208.3,15208
13,5S,15208.3,15208.3,15208.3,15208.3,15208.3,15207.9
14,5S,15208.3,15208.3,15208.3,15208.3,15208.2,15207.8
15,5S,15208.3,15208.3,15208.3,15208.3,15208.2,15207.7
16,5S,15208.3,15208.3,15208.3,15208.3,15208.1,15207.5
17,5S,15208.3,15208.3,15208.3,15208.3,15208,15207.4
18,5S,15208.3,15208.3,15208.3,15208.3,15207.9,15207.2
19,5S,15208.3,15208.3,15208.3,15208.2,15207.8,15207
20,5S,15208.3,15208.3,15208.3,15208.2,15207.7,15206.7
21,5S,15208.3,15208.3,15208.3,15208.1,15207.5,15206.4
22,5S,15208.3,15208.3,15208.3,15208,15207.3,15206.1
23,5S,15208.3,15208.3,15208.3,15207.9,15207.1,15205.8
24,5S,15208.2,15208.3,15208.2,15207.7,15206.8,15205.5
25,5S,15208.1,15208.3,15208.2,15207.6,15206.5,15205.1
26,5S,15208,15208.3,15208,15207.3,15206.2,15204.6
27,5S,15207.8,15208.2,15207.9,15207.1,15205.8,15204.2
28,5S,15207.6,15208.1,15207.7,15206.8,15205.5,15203.7
29,5S,15207.3,15207.9,15207.5,15206.5,15205,15203.1
30,5S,15207,15207.6,15207.2,15206.1,15204.5,15202.6
31,5S,15206.6,15207.2,15206.8,15205.7,15204,15201.9
32,5S,15206.2,15206.8,15206.4,15205.2,15203.5,15201.3
33,5S,15205.6,15206.3,15205.9,15204.7,15202.9,15200.6
34,5S,15205,15205.7,15205.4,15204.1,15202.2,15199.8
35,5S,15204.3,15205,15204.7,15203.4,15201.5,15199
36,5S,15203.6,15204.3,15204,15202.7,15200.7,15198.2
37,5S,15202.8,15203.5,15203.2,15202,15199.9,15197.3
38,5S,15201.9,15202.6,15202.4,15201.1,15199,15196.3
39,5S,15200.9,15201.7,15201.4,15200.2,15198.1,15195.3
40,5S,15199.9,15200.6,15200.4,15199.2,15197.1,15194.3
41,5S,15198.8,15199.6,15199.4,15198.2,15196,15193.2
42,5S,15197.6,15198.4,15198.2,15197,15194.9,15192
43,5S,15196.3,15197.1,15197,15195.8,15193.7,15190.8
44,5S,15195,15195.8,15195.7,15194.6,15192.5,15189.5
45,5S,15193.6,15194.5,15194.3,15193.2,15191.1,15188.1
46,5S,15192.1,15193,15192.9,15191.8,15189.7,15186.7
47,5S,15190.5,15191.5,15191.4,15190.3,15188.2,15185.2
48,5S,15188.9,15189.9,15189.8,15188.7,15186.7,15183.7
49,5S,15187.2,15188.2,15188.1,15187.1,15185.1,15182.1
50,5S,15185.5,15186.4,15186.4,15185.4,15183.4,15180.4
51,5S,15183.6,15184.6,15184.6,15183.6,15181.6,15178.6
52,5S,15181.7,15182.7,15182.7,15181.7,15179.8,15176.8
53,5S,15179.7,15180.7,15180.8,15179.8,15177.9,15174.9
54,5S,15177.6,15178.7,15178.8,15177.8,15175.9,15173
55,5S,15175.5,15176.6,15176.7,15175.7,15173.8,15170.9
56,5S,15173.3,15174.4,15174.5,15173.6,15171.7,15168.8
57,5S,15171,15172.1,15172.2,15171.4,15169.5,15166.6
58,5S,15168.7,15169.8,15169.9,15169.1,15167.2,15164.4
59,5S,15166.2,15167.4,15167.5,15166.7,15164.9,15162
60,5S,15163.7,15164.9,15165.1,15164.3,15162.4,15159.6
61,5S,15161.2,15162.4,15162.5,15161.7,15160,15157.2
62,5S,15158.5,15159.7,15159.9,15159.2,15157.4,15154.6
63,5S,15155.8,15157,15157.3,15156.5,15154.7,15152
64,5S,15153,15154.3,15154.5,15153.8,15152,15149.3
65,5S,15150.2,15151.4,15151.7,15151,15149.2,15146.5
66,5S,15147.2,15148.5,15148.8,15148.1,15146.4,15143.7
67,5S,15144.2,15145.5,15145.8,15145.1,15143.4,15140.8
68,5S,15141.1,15142.4,15142.8,15142.1,15140.4,15137.8
69,5S,15138,15139.3,15139.6,15139,15137.4,15134.7
70,5S,15134.7,15136.1,15136.5,15135.8,15134.2,15131.6
71,5S,15131.4,15132.8,15133.2,15132.6,15131,15128.4
72,5S,15128.1,15129.5,15129.9,15129.3,15127.7,15125.1
73,5S,15124.6,15126,15126.5,15125.9,15124.3,15121.8
74,5S,15121.1,15122.5,15123,15122.4,15120.9,15118.3
75,5S,15117.5,15119,15119.4,15118.9,15117.4,15114.8
76,5S,15113.8,15115.3,15115.8,15115.3,15113.8,15111.3
77,5S,15110.1,15111.6,15112.1,15111.6,15110.1,15107.6
78,5S,15106.3,15107.8,15108.3,15107.8,15106.4,15103.9
79,5S,15102.4,15103.9,15104.5,15104,15102.6,15100.1
80,5S,15098.4,15100,15100.5,15100.1,15098.7,15096.3
81,5S,15094.4,15096,15096.6,15096.1,15094.7,15092.3
82,5S,15090.3,15091.9,15092.5,15092.1,15090.7,15088.3
83,5S,15086.1,15087.7,15088.4,15088,15086.6,15084.2
