Ullage  (cm.),Tank,-1,0,1,2,3,4
92,6S,13786.2,13796.4,13805.2,13812.8,13819,13824
93,6S,13781.5,13791.8,13800.8,13808.5,13814.9,13820
94,6S,13776.7,13787.1,13796.3,13804.1,13810.7,13815.9
95,6S,13771.8,13782.4,13791.7,13799.7,13806.4,13811.8
96,6S,13766.8,13777.6,13787,13795.2,13802,13807.6
97,6S,13761.8,13772.7,13782.3,13790.6,13797.6,13803.3
98,6S,13756.7,13767.7,13777.5,13785.9,13793.1,13798.9
99,6S,13751.5,13762.7,13772.6,13781.2,13788.5,13794.5
100,6S,13746.2,13757.6,13767.7,13776.4,13783.9,13790
101,6S,13740.9,13752.4,13762.6,13771.5,13779.1,13785.4
102,6S,13735.5,13747.2,13757.5,13766.6,13774.3,13780.8
103,6S,13730,13741.8,13752.4,13761.6,13769.5,13776.1
104,6S,13724.5,13736.4,13747.1,13756.5,13764.5,13771.3
105,6S,13718.8,13731,13741.8,13751.3,13759.5,13766.4
106,6S,13713.1,13725.4,13736.4,13746.1,13754.4,13761.5
107,6S,13707.4,13719.8,13730.9,13740.7,13749.3,13756.5
108,6S,13701.5,13714.1,13725.4,13735.4,13744,13751.4
109,6S,13695.6,13708.4,13719.8,13729.9,13738.7,13746.2
110,6S,13689.6,13702.5,13714.1,13724.4,13733.3,13741
111,6S,13683.6,13696.6,13708.3,13718.8,13727.9,13735.7
112,6S,13677.5,13690.6,13702.5,13713.1,13722.3,13730.3
113,6S,13671.3,13684.6,13696.6,13707.3,13716.7,13724.9
114,6S,13665,13678.4,13690.6,13701.5,13711.1,13719.3
115,6S,13658.7,13672.2,13684.6,13695.6,13705.3,13713.8
116,6S,13652.4,13666,13678.5,13689.6,13699.5,13708.1
117,6S,13646,13659.6,13672.3,13683.6,13693.6,13702.4
118,6S,13639.5,13653.2,13666,13677.5,13687.7,13696.6
119,6S,13633,13646.7,13659.7,13671.3,13681.6,13690.8
120,6S,13626.5,13640.2,13653.2,13665,13675.6,13684.9
121,6S,13619.9,13633.6,13646.8,13658.7,13669.4,13678.9
122,6S,13613.3,13626.9,13640.2,13652.3,13663.2,13672.9
123,6S,13606.6,13620.2,13633.6,13645.8,13656.9,13666.9
124,6S,13600,13613.5,13626.9,13639.3,13650.6,13660.7
125,6S,13593.3,13606.8,13620.1,13632.8,13644.2,13654.6
126,6S,13586.5,13600,13613.3,13626.1,13637.8,13648.4
127,6S,13579.8,13593.2,13606.5,13619.5,13631.4,13642.1
128,6S,13573,13586.4,13599.7,13612.8,13624.9,13635.8
129,6S,13566.2,13579.6,13592.8,13606,13618.3,13629.5
130,6S,13559.4,13572.7,13586,13599.3,13611.7,13623.1
131,6S,13552.6,13565.9,13579.2,13592.5,13605.1,13616.6
132,6S,13545.8,13559.1,13572.4,13585.7,13598.5,13610.2
133,6S,13539,13552.3,13565.6,13578.9,13591.8,13603.7
134,6S,13532.2,13545.5,13558.8,13572.1,13585.1,13597.1
135,6S,13525.4,13538.7,13552,13565.2,13578.3,13590.6
136,6S,13518.6,13531.9,13545.2,13558.4,13571.6,13584
137,6S,13511.7,13525.1,13538.3,13551.6,13564.8,13577.3
138,6S,13504.9,13518.2,13531.5,13544.8,13558,13570.7
139,6S,13498.1,13511.4,13524.7,13538,13551.2,13564
140,6S,13491.3,13504.6,13517.9,13531.2,13544.4,13557.3
141,6S,13484.5,13497.8,13511.1,13524.4,13537.6,13550.6
142,6S,13477.7,13491,13504.3,13517.6,13530.8,13543.9
143,6S,13470.9,13484.2,13497.5,13510.7,13524,13537.1
144,6S,13464.1,13477.4,13490.7,13503.9,13517.2,13530.4
145,6S,13457.2,13470.6,13483.8,13497.1,13510.4,13523.6
146,6S,13450.4,13463.7,13477,13490.3,13503.6,13516.8
147,6S,13443.6,13456.9,13470.2,13483.5,13496.8,13510
148,6S,13436.8,13450.1,13463.4,13476.7,13489.9,13503.2
149,6S,13430,13443.3,13456.6,13469.9,13483.1,13496.4
150,6S,13423.2,13436.5,13449.8,13463.1,13476.3,13489.6
151,6S,13416.4,13429.7,13443,13456.2,13469.5,13482.8
152,6S,13409.6,13422.9,13436.2,13449.4,13462.7,13475.9
153,6S,13402.8,13416.1,13429.3,13442.6,13455.9,13469.1
154,6S,13395.9,13409.2,13422.5,13435.8,13449.1,13462.3
155,6S,13389.1,13402.4,13415.7,13429,13442.3,13455.5
156,6S,13382.3,13395.6,13408.9,13422.2,13435.4,13448.7
157,6S,13375.5,13388.8,13402.1,13415.4,13428.6,13441.9
158,6S,13368.7,13382,13395.3,13408.6,13421.8,13435.1
159,6S,13361.9,13375.2,13388.5,13401.8,13415,13428.3
160,6S,13355.1,13368.4,13381.7,13394.9,13408.2,13421.4
161,6S,13348.3,13361.6,13374.8,13388.1,13401.4,13414.6
162,6S,13341.4,13354.7,13368,13381.3,13394.6,13407.8
163,6S,13334.6,13347.9,13361.2,13374.5,13387.8,13401
164,6S,13327.8,13341.1,13354.4,13367.7,13380.9,13394.2
165,6S,13321,13334.3,13347.6,13360.9,13374.1,13387.4
166,6S,13314.2,13327.5,13340.8,13354.1,13367.3,13380.6
167,6S,13307.4,13320.7,13334,13347.3,13360.5,13373.7
168,6S,13300.6,13313.9,13327.2,13340.4,13353.7,13366.9
169,6S,13293.8,13307.1,13320.4,13333.6,13346.9,13360.1
170,6S,13286.9,13300.2,13313.5,13326.8,13340.1,13353.3
171,6S,13280.1,13293.4,13306.7,13320,13333.3,13346.5
172,6S,13273.3,13286.6,13299.9,13313.2,13326.4,13339.7
173,6S,13266.5,13279.8,13293.1,13306.4,13319.6,13332.9
174,6S,13259.7,13273,13286.3,13299.6,13312.8,13326.1
175,6S,13252.9,13266.2,13279.5,13292.8,13306,13319.2
176,6S,13246.1,13259.4,13272.7,13285.9,13299.2,13312.4
177,6S,13239.3,13252.6,13265.9,13279.1,13292.4,13305.6
178,6S,13232.4,13245.8,13259,13272.3,13285.6,13298.8
179,6S,13225.6,13238.9,13252.2,13265.5,13278.8,13292
180,6S,13218.8,13232.1,13245.4,13258.7,13271.9,13285.2
181,6S,13212,13225.3,13238.6,13251.9,13265.1,13278.4
182,6S,13205.2,13218.5,13231.8,13245.1,13258.3,13271.6
183,6S,13198.4,13211.7,13225,13238.3,13251.5,13264.7
184,6S,13191.6,13204.9,13218.2,13231.4,13244.7,13257.9
185,6S,13184.8,13198.1,13211.4,13224.6,13237.9,13251.1
186,6S,13177.9,13191.3,13204.5,13217.8,13231.1,13244.3
187,6S,13171.1,13184.4,13197.7,13211,13224.3,13237.5
188,6S,13164.3,13177.6,13190.9,13204.2,13217.4,13230.7
189,6S,13157.5,13170.8,13184.1,13197.4,13210.6,13223.9
190,6S,13150.7,13164,13177.3,13190.6,13203.8,13217.1
191,6S,13143.9,13157.2,13170.5,13183.8,13197,13210.2
192,6S,13137.1,13150.4,13163.7,13176.9,13190.2,13203.4
193,6S,13130.3,13143.6,13156.9,13170.1,13183.4,13196.6
194,6S,13123.4,13136.8,13150,13163.3,13176.6,13189.8
195,6S,13116.6,13129.9,13143.2,13156.5,13169.8,13183
196,6S,13109.8,13123.1,13136.4,13149.7,13162.9,13176.2
197,6S,13103,13116.3,13129.6,13142.9,13156.1,13169.4
198,6S,13096.2,13109.5,13122.8,13136.1,13149.3,13162.5
199,6S,13089.4,13102.7,13116,13129.3,13142.5,13155.7
200,6S,13082.6,13095.9,13109.2,13122.4,13135.7,13148.9
201,6S,13075.8,13089.1,13102.4,13115.6,13128.9,13142.1
202,6S,13069,13082.3,13095.5,13108.8,13122.1,13135.3
203,6S,13062.1,13075.4,13088.7,13102,13115.3,13128.5
204,6S,13055.3,13068.6,13081.9,13095.2,13108.4,13121.7
205,6S,13048.5,13061.8,13075.1,13088.4,13101.6,13114.9
206,6S,13041.7,13055,13068.3,13081.6,13094.8,13108
207,6S,13034.9,13048.2,13061.5,13074.8,13088,13101.2
208,6S,13028.1,13041.4,13054.7,13067.9,13081.2,13094.4
209,6S,13021.3,13034.6,13047.9,13061.1,13074.4,13087.6
210,6S,13014.5,13027.8,13041,13054.3,13067.6,13080.8
211,6S,13007.6,13020.9,13034.2,13047.5,13060.8,13074
212,6S,13000.8,13014.1,13027.4,13040.7,13053.9,13067.2
213,6S,12994,13007.3,13020.6,13033.9,13047.1,13060.4
214,6S,12987.2,13000.5,13013.8,13027.1,13040.3,13053.5
215,6S,12980.4,12993.7,13007,13020.3,13033.5,13046.7
216,6S,12973.6,12986.9,13000.2,13013.4,13026.7,13039.9
217,6S,12966.8,12980.1,12993.4,13006.6,13019.9,13033.1
218,6S,12960,12973.3,12986.6,12999.8,13013.1,13026.3
219,6S,12953.1,12966.5,12979.7,12993,13006.3,13019.5
220,6S,12946.3,12959.6,12972.9,12986.2,12999.4,13012.7
221,6S,12939.5,12952.8,12966.1,12979.4,12992.6,13005.8
222,6S,12932.7,12946,12959.3,12972.6,12985.8,12999
223,6S,12925.9,12939.2,12952.5,12965.8,12979,12992.2
224,6S,12919.1,12932.4,12945.7,12958.9,12972.2,12985.4
225,6S,12912.3,12925.6,12938.9,12952.1,12965.4,12978.6
226,6S,12905.5,12918.8,12932.1,12945.3,12958.6,12971.8
227,6S,12898.6,12912,12925.2,12938.5,12951.7,12965
228,6S,12891.8,12905.1,12918.4,12931.7,12944.9,12958.2
229,6S,12885,12898.3,12911.6,12924.9,12938.1,12951.3
230,6S,12878.2,12891.5,12904.8,12918.1,12931.3,12944.5
231,6S,12871.4,12884.7,12898,12911.3,12924.5,12937.7
232,6S,12864.6,12877.9,12891.2,12904.4,12917.7,12930.9
233,6S,12857.8,12871.1,12884.4,12897.6,12910.9,12924.1
234,6S,12851,12864.3,12877.6,12890.8,12904.1,12917.3
235,6S,12844.1,12857.5,12870.7,12884,12897.2,12910.5
236,6S,12837.3,12850.6,12863.9,12877.2,12890.4,12903.7
237,6S,12830.5,12843.8,12857.1,12870.4,12883.6,12896.8
