Ullage  (cm.),Tank,-1,0,1,2,3,4
0,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
1,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
2,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
3,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
4,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
5,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
6,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
7,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
8,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
9,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
10,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
11,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
12,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
13,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.3
14,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.2
15,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.2
16,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208.1
17,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15208
18,3S,15208.3,15208.3,15208.3,15208.3,15208.3,15207.9
19,3S,15208.3,15208.3,15208.3,15208.3,15208.2,15207.8
20,3S,15208.3,15208.3,15208.3,15208.3,15208.2,15207.7
21,3S,15208.3,15208.3,15208.3,15208.3,15208.1,15207.6
22,3S,15208.3,15208.3,15208.3,15208.3,15208,15207.4
23,3S,15208.3,15208.3,15208.3,15208.3,15207.9,15207.2
24,3S,15208.3,15208.3,15208.3,15208.2,15207.8,15207
25,3S,15208.3,15208.3,15208.3,15208.2,15207.7,15206.8
26,3S,15208.3,15208.3,15208.3,15208.1,15207.5,15206.5
27,3S,15208.3,15208.3,15208.3,15208,15207.3,15206.2
28,3S,15208.3,15208.3,15208.3,15207.9,15207.1,15205.9
29,3S,15208.2,15208.3,15208.2,15207.8,15206.9,15205.5
30,3S,15208.1,15208.3,15208.2,15207.6,15206.6,15205.2
31,3S,15208,15208.3,15208.1,15207.4,15206.3,15204.7
32,3S,15207.8,15208.3,15207.9,15207.1,15205.9,15204.3
33,3S,15207.6,15208.1,15207.8,15206.9,15205.5,15203.8
34,3S,15207.4,15207.9,15207.5,15206.5,15205.1,15203.3
35,3S,15207.1,15207.6,15207.2,15206.2,15204.7,15202.7
36,3S,15206.7,15207.3,15206.9,15205.8,15204.2,15202.1
