Ullage  (cm.),Tank,-1,0,1,2,3,4
0,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
1,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
2,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
3,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
4,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
5,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
6,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
7,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
8,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
9,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
10,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
11,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
12,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
13,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
14,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
15,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
16,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
17,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
18,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.9
19,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.8
20,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.8
21,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.8
22,6P,13938.9,13938.9,13938.9,13938.9,13938.9,13938.7
23,6P,13938.9,13938.9,13938.9,13938.9,13938.8,13938.7
24,6P,13938.9,13938.9,13938.9,13938.9,13938.8,13938.6
25,6P,13938.9,13938.9,13938.9,13938.9,13938.7,13938.5
26,6P,13938.8,13938.9,13938.9,13938.9,13938.7,13938.4
27,6P,13938.8,13938.9,13938.9,13938.8,13938.6,13938.3
28,6P,13938.7,13938.9,13938.9,13938.8,13938.5,13938.1
29,6P,13938.5,13938.9,13938.9,13938.7,13938.4,13937.9
30,6P,13938.4,13938.9,13938.8,13938.6,13938.3,13937.7
31,6P,13938.1,13938.9,13938.8,13938.5,13938.1,13937.5
32,6P,13937.9,13938.8,13938.7,13938.4,13937.9,13937.3
33,6P,13937.5,13938.6,13938.6,13938.2,13937.7,13937
34,6P,13937.1,13938.4,13938.4,13938,13937.4,13936.7
35,6P,13936.7,13938,13938.2,13937.8,13937.1,13936.4
36,6P,13936.1,13937.7,13937.9,13937.5,13936.8,13936
37,6P,13935.5,13937.2,13937.6,13937.2,13936.5,13935.6
38,6P,13934.8,13936.7,13937.2,13936.8,13936.1,13935.2
39,6P,13934.1,13936.1,13936.8,13936.4,13935.7,13934.7
40,6P,13933.2,13935.4,13936.2,13935.9,13935.2,13934.2
41,6P,13932.3,13934.6,13935.6,13935.4,13934.7,13933.7
42,6P,13931.4,13933.8,13935,13934.9,13934.1,13933.1
43,6P,13930.3,13932.9,13934.2,13934.2,13933.5,13932.5
44,6P,13929.2,13931.9,13933.4,13933.6,13932.9,13931.8
45,6P,13928,13930.9,13932.5,13932.8,13932.2,13931.1
46,6P,13926.7,13929.8,13931.5,13932,13931.4,13930.4
47,6P,13925.4,13928.6,13930.5,13931.1,13930.6,13929.6
48,6P,13924,13927.3,13929.4,13930.1,13929.7,13928.7
49,6P,13922.5,13926,13928.2,13929.1,13928.8,13927.8
50,6P,13920.9,13924.6,13926.9,13928,13927.8,13926.9
51,6P,13919.3,13923.1,13925.6,13926.8,13926.8,13925.9
52,6P,13917.6,13921.6,13924.2,13925.6,13925.7,13924.8
53,6P,13915.8,13919.9,13922.7,13924.3,13924.5,13923.7
54,6P,13914,13918.2,13921.2,13922.9,13923.2,13922.5
55,6P,13912,13916.5,13919.6,13921.4,13921.9,13921.3
56,6P,13910,13914.6,13917.9,13919.8,13920.5,13920
57,6P,13908,13912.7,13916.1,13918.2,13919.1,13918.6
58,6P,13905.8,13910.7,13914.3,13916.5,13917.5,13917.2
59,6P,13903.6,13908.6,13912.4,13914.8,13915.9,13915.8
60,6P,13901.3,13906.5,13910.4,13912.9,13914.2,13914.2
61,6P,13898.9,13904.3,13908.3,13911,13912.5,13912.6
62,6P,13896.5,13902,13906.2,13909.1,13910.6,13910.9
63,6P,13894,13899.6,13904,13907,13908.7,13909.2
64,6P,13891.4,13897.2,13901.7,13904.9,13906.8,13907.3
65,6P,13888.8,13894.7,13899.3,13902.7,13904.7,13905.4
66,6P,13886,13892.1,13896.9,13900.4,13902.6,13903.5
67,6P,13883.2,13889.5,13894.4,13898.1,13900.4,13901.4
68,6P,13880.4,13886.8,13891.9,13895.7,13898.1,13899.3
69,6P,13877.4,13884,13889.2,13893.2,13895.8,13897.1
70,6P,13874.4,13881.1,13886.5,13890.6,13893.4,13894.9
71,6P,13871.3,13878.2,13883.7,13888,13890.9,13892.5
72,6P,13868.1,13875.2,13880.9,13885.3,13888.3,13890.1
73,6P,13864.9,13872.1,13877.9,13882.5,13885.7,13887.7
74,6P,13861.6,13868.9,13874.9,13879.6,13883,13885.1
75,6P,13858.2,13865.7,13871.8,13876.7,13880.2,13882.5
76,6P,13854.8,13862.4,13868.7,13873.7,13877.4,13879.8
77,6P,13851.2,13859,13865.5,13870.6,13874.5,13877
78,6P,13847.6,13855.5,13862.2,13867.5,13871.5,13874.2
79,6P,13843.9,13852,13858.8,13864.2,13868.4,13871.3
80,6P,13840.2,13848.4,13855.3,13861,13865.3,13868.3
81,6P,13836.4,13844.8,13851.8,13857.6,13862,13865.2
82,6P,13832.5,13841,13848.2,13854.1,13858.8,13862.1
83,6P,13828.5,13837.2,13844.6,13850.6,13855.4,13858.9
84,6P,13824.5,13833.3,13840.8,13847.1,13852,13855.6
85,6P,13820.4,13829.3,13837,13843.4,13848.5,13852.2
86,6P,13816.2,13825.3,13833.1,13839.7,13844.9,13848.8
87,6P,13811.9,13821.2,13829.2,13835.9,13841.2,13845.3
88,6P,13807.6,13817,13825.2,13832,13837.5,13841.7
89,6P,13803.2,13812.8,13821.1,13828,13833.7,13838.1
90,6P,13798.7,13808.4,13816.9,13824,13829.8,13834.4
91,6P,13794.1,13804,13812.6,13819.9,13825.9,13830.6
92,6P,13789.5,13799.6,13808.3,13815.7,13821.9,13826.7
93,6P,13784.8,13795,13803.9,13811.5,13817.8,13822.8
94,6P,13780.1,13790.4,13799.5,13807.2,13813.6,13818.8
95,6P,13775.2,13785.7,13794.9,13802.8,13809.4,13814.7
96,6P,13770.3,13781,13790.3,13798.3,13805.1,13810.5
97,6P,13765.3,13776.1,13785.6,13793.8,13800.7,13806.3
98,6P,13760.3,13771.2,13780.9,13789.2,13796.2,13802
99,6P,13755.1,13766.2,13776,13784.5,13791.7,13797.6
100,6P,13749.9,13761.2,13771.1,13779.8,13787.1,13793.2
101,6P,13744.6,13756,13766.2,13775,13782.4,13788.6
102,6P,13739.3,13750.8,13761.1,13770.1,13777.7,13784
103,6P,13733.8,13745.6,13756,13765.1,13772.9,13779.4
104,6P,13728.4,13740.2,13750.8,13760,13768,13774.6
105,6P,13722.8,13734.8,13745.5,13754.9,13763,13769.8
106,6P,13717.1,13729.3,13740.2,13749.7,13758,13764.9
107,6P,13711.4,13723.7,13734.8,13744.5,13752.9,13760
108,6P,13705.6,13718.1,13729.3,13739.1,13747.7,13754.9
109,6P,13699.8,13712.4,13723.7,13733.7,13742.4,13749.8
110,6P,13693.8,13706.6,13718.1,13728.2,13737.1,13744.7
111,6P,13687.8,13700.8,13712.4,13722.7,13731.7,13739.4
112,6P,13681.7,13694.8,13706.6,13717.1,13726.2,13734.1
113,6P,13675.6,13688.8,13700.7,13711.4,13720.7,13728.7
114,6P,13669.4,13682.7,13694.8,13705.6,13715.1,13723.2
115,6P,13663.1,13676.6,13688.8,13699.7,13709.4,13717.7
116,6P,13656.8,13670.4,13682.8,13693.8,13703.6,13712.1
117,6P,13650.5,13664.1,13676.6,13687.8,13697.8,13706.4
118,6P,13644,13657.7,13670.4,13681.8,13691.8,13700.7
119,6P,13637.6,13651.3,13664.1,13675.6,13685.9,13694.9
120,6P,13631.1,13644.8,13657.7,13669.4,13679.8,13689
121,6P,13624.5,13638.2,13651.3,13663.1,13673.7,13683.1
122,6P,13617.9,13631.6,13644.8,13656.8,13667.6,13677.1
123,6P,13611.3,13624.9,13638.2,13650.4,13661.3,13671.1
124,6P,13604.6,13618.2,13631.6,13643.9,13655,13665
125,6P,13598,13611.5,13624.8,13637.4,13648.7,13658.9
126,6P,13591.2,13604.7,13618,13630.8,13642.3,13652.7
127,6P,13584.5,13597.9,13611.2,13624.1,13635.9,13646.5
128,6P,13577.8,13591.1,13604.4,13617.5,13629.4,13640.2
129,6P,13571,13584.3,13597.6,13610.7,13622.9,13633.9
130,6P,13564.2,13577.5,13590.8,13604,13616.3,13627.5
131,6P,13557.4,13570.7,13584,13597.2,13609.7,13621.1
132,6P,13550.6,13563.9,13577.2,13590.4,13603.1,13614.7
133,6P,13543.8,13557.1,13570.4,13583.6,13596.4,13608.2
134,6P,13537,13550.3,13563.5,13576.8,13589.8,13601.7
135,6P,13530.1,13543.4,13556.7,13570,13583,13595.2
136,6P,13523.3,13536.6,13549.9,13563.2,13576.3,13588.6
137,6P,13516.5,13529.8,13543.1,13556.4,13569.6,13582
138,6P,13509.7,13523,13536.3,13549.6,13562.8,13575.3
139,6P,13502.9,13516.2,13529.5,13542.8,13556,13568.7
140,6P,13496.1,13509.4,13522.7,13536,13549.2,13562
141,6P,13489.3,13502.6,13515.9,13529.1,13542.4,13555.3
142,6P,13482.5,13495.8,13509,13522.3,13535.6,13548.6
143,6P,13475.6,13488.9,13502.2,13515.5,13528.8,13541.8
144,6P,13468.8,13482.1,13495.4,13508.7,13522,13535.1
145,6P,13462,13475.3,13488.6,13501.9,13515.2,13528.3
146,6P,13455.2,13468.5,13481.8,13495.1,13508.3,13521.5
147,6P,13448.4,13461.7,13475,13488.3,13501.5,13514.8
148,6P,13441.6,13454.9,13468.2,13481.5,13494.7,13507.9
149,6P,13434.8,13448.1,13461.4,13474.6,13487.9,13501.1
150,6P,13428,13441.3,13454.6,13467.8,13481.1,13494.3
151,6P,13421.1,13434.4,13447.7,13461,13474.3,13487.5
152,6P,13414.3,13427.6,13440.9,13454.2,13467.5,13480.7
153,6P,13407.5,13420.8,13434.1,13447.4,13460.7,13473.9
154,6P,13400.7,13414,13427.3,13440.6,13453.8,13467.1
155,6P,13393.9,13407.2,13420.5,13433.8,13447,13460.3
156,6P,13387.1,13400.4,13413.7,13427,13440.2,13453.5
157,6P,13380.3,13393.6,13406.9,13420.1,13433.4,13446.6
158,6P,13373.5,13386.8,13400.1,13413.3,13426.6,13439.8
159,6P,13366.6,13380,13393.2,13406.5,13419.8,13433
160,6P,13359.8,13373.1,13386.4,13399.7,13413,13426.2
161,6P,13353,13366.3,13379.6,13392.9,13406.1,13419.4
162,6P,13346.2,13359.5,13372.8,13386.1,13399.3,13412.6
163,6P,13339.4,13352.7,13366,13379.3,13392.5,13405.8
164,6P,13332.6,13345.9,13359.2,13372.5,13385.7,13399
165,6P,13325.8,13339.1,13352.4,13365.6,13378.9,13392.1
166,6P,13319,13332.3,13345.6,13358.8,13372.1,13385.3
167,6P,13312.2,13325.5,13338.7,13352,13365.3,13378.5
168,6P,13305.3,13318.6,13331.9,13345.2,13358.5,13371.7
169,6P,13298.5,13311.8,13325.1,13338.4,13351.7,13364.9
170,6P,13291.7,13305,13318.3,13331.6,13344.8,13358.1
171,6P,13284.9,13298.2,13311.5,13324.8,13338,13351.3
172,6P,13278.1,13291.4,13304.7,13318,13331.2,13344.5
173,6P,13271.3,13284.6,13297.9,13311.1,13324.4,13337.6
174,6P,13264.5,13277.8,13291.1,13304.3,13317.6,13330.8
175,6P,13257.7,13271,13284.2,13297.5,13310.8,13324
176,6P,13250.8,13264.1,13277.4,13290.7,13304,13317.2
177,6P,13244,13257.3,13270.6,13283.9,13297.2,13310.4
178,6P,13237.2,13250.5,13263.8,13277.1,13290.3,13303.6
179,6P,13230.4,13243.7,13257,13270.3,13283.5,13296.8
180,6P,13223.6,13236.9,13250.2,13263.5,13276.7,13290
181,6P,13216.8,13230.1,13243.4,13256.6,13269.9,13283.1
182,6P,13210,13223.3,13236.6,13249.8,13263.1,13276.3
183,6P,13203.2,13216.5,13229.7,13243,13256.3,13269.5
184,6P,13196.3,13209.6,13222.9,13236.2,13249.5,13262.7
185,6P,13189.5,13202.8,13216.1,13229.4,13242.6,13255.9
186,6P,13182.7,13196,13209.3,13222.6,13235.8,13249.1
187,6P,13175.9,13189.2,13202.5,13215.8,13229,13242.3
188,6P,13169.1,13182.4,13195.7,13209,13222.2,13235.4
189,6P,13162.3,13175.6,13188.9,13202.1,13215.4,13228.6
190,6P,13155.5,13168.8,13182.1,13195.3,13208.6,13221.8
191,6P,13148.7,13162,13175.3,13188.5,13201.8,13215
192,6P,13141.8,13155.2,13168.4,13181.7,13195,13208.2
193,6P,13135,13148.3,13161.6,13174.9,13188.1,13201.4
194,6P,13128.2,13141.5,13154.8,13168.1,13181.3,13194.6
195,6P,13121.4,13134.7,13148,13161.3,13174.5,13187.8
196,6P,13114.6,13127.9,13141.2,13154.5,13167.7,13180.9
197,6P,13107.8,13121.1,13134.4,13147.6,13160.9,13174.1
198,6P,13101,13114.3,13127.6,13140.8,13154.1,13167.3
199,6P,13094.2,13107.5,13120.8,13134,13147.3,13160.5
200,6P,13087.3,13100.7,13113.9,13127.2,13140.5,13153.7
201,6P,13080.5,13093.8,13107.1,13120.4,13133.6,13146.9
202,6P,13073.7,13087,13100.3,13113.6,13126.8,13140.1
203,6P,13066.9,13080.2,13093.5,13106.8,13120,13133.3
204,6P,13060.1,13073.4,13086.7,13100,13113.2,13126.4
205,6P,13053.3,13066.6,13079.9,13093.1,13106.4,13119.6
206,6P,13046.5,13059.8,13073.1,13086.3,13099.6,13112.8
207,6P,13039.7,13053,13066.3,13079.5,13092.8,13106
208,6P,13032.8,13046.2,13059.4,13072.7,13086,13099.2
209,6P,13026,13039.3,13052.6,13065.9,13079.1,13092.4
210,6P,13019.2,13032.5,13045.8,13059.1,13072.3,13085.6
211,6P,13012.4,13025.7,13039,13052.3,13065.5,13078.7
212,6P,13005.6,13018.9,13032.2,13045.5,13058.7,13071.9
213,6P,12998.8,13012.1,13025.4,13038.6,13051.9,13065.1
214,6P,12992,13005.3,13018.6,13031.8,13045.1,13058.3
215,6P,12985.2,12998.5,13011.8,13025,13038.3,13051.5
216,6P,12978.3,12991.7,13004.9,13018.2,13031.5,13044.7
217,6P,12971.5,12984.8,12998.1,13011.4,13024.6,13037.9
218,6P,12964.7,12978,12991.3,13004.6,13017.8,13031.1
219,6P,12957.9,12971.2,12984.5,12997.8,13011,13024.2
220,6P,12951.1,12964.4,12977.7,12991,13004.2,13017.4
221,6P,12944.3,12957.6,12970.9,12984.1,12997.4,13010.6
222,6P,12937.5,12950.8,12964.1,12977.3,12990.6,13003.8
223,6P,12930.7,12944,12957.3,12970.5,12983.8,12997
224,6P,12923.9,12937.2,12950.4,12963.7,12977,12990.2
225,6P,12917,12930.3,12943.6,12956.9,12970.1,12983.4
226,6P,12910.2,12923.5,12936.8,12950.1,12963.3,12976.6
227,6P,12903.4,12916.7,12930,12943.3,12956.5,12969.7
228,6P,12896.6,12909.9,12923.2,12936.5,12949.7,12962.9
229,6P,12889.8,12903.1,12916.4,12929.7,12942.9,12956.1
230,6P,12883,12896.3,12909.6,12922.8,12936.1,12949.3
231,6P,12876.2,12889.5,12902.8,12916,12929.3,12942.5
232,6P,12869.4,12882.7,12895.9,12909.2,12922.5,12935.7
233,6P,12862.5,12875.8,12889.1,12902.4,12915.6,12928.9
234,6P,12855.7,12869,12882.3,12895.6,12908.8,12922
235,6P,12848.9,12862.2,12875.5,12888.8,12902,12915.2
236,6P,12842.1,12855.4,12868.7,12882,12895.2,12908.4
237,6P,12835.3,12848.6,12861.9,12875.2,12888.4,12901.6
238,6P,12828.5,12841.8,12855.1,12868.3,12881.6,12894.8
239,6P,12821.7,12835,12848.3,12861.5,12874.8,12888
240,6P,12814.9,12828.2,12841.5,12854.7,12868,12881.2
241,6P,12808,12821.4,12834.6,12847.9,12861.1,12874.4
242,6P,12801.2,12814.5,12827.8,12841.1,12854.3,12867.5
243,6P,12794.4,12807.7,12821,12834.3,12847.5,12860.7
244,6P,12787.6,12800.9,12814.2,12827.5,12840.7,12853.9
245,6P,12780.8,12794.1,12807.4,12820.7,12833.9,12847.1
246,6P,12774,12787.3,12800.6,12813.8,12827.1,12840.3
247,6P,12767.2,12780.5,12793.8,12807,12820.3,12833.5
248,6P,12760.4,12773.7,12787,12800.2,12813.5,12826.7
249,6P,12753.5,12766.9,12780.1,12793.4,12806.6,12819.9
250,6P,12746.7,12760,12773.3,12786.6,12799.8,12813
251,6P,12739.9,12753.2,12766.5,12779.8,12793,12806.2
252,6P,12733.1,12746.4,12759.7,12773,12786.2,12799.4
253,6P,12726.3,12739.6,12752.9,12766.2,12779.4,12792.6
254,6P,12719.5,12732.8,12746.1,12759.3,12772.6,12785.8
255,6P,12712.7,12726,12739.3,12752.5,12765.8,12779
256,6P,12705.9,12719.2,12732.5,12745.7,12759,12772.2
257,6P,12699,12712.4,12725.6,12738.9,12752.1,12765.3
258,6P,12692.2,12705.5,12718.8,12732.1,12745.3,12758.5
259,6P,12685.4,12698.7,12712,12725.3,12738.5,12751.7
260,6P,12678.6,12691.9,12705.2,12718.5,12731.7,12744.9
261,6P,12671.8,12685.1,12698.4,12711.7,12724.9,12738.1
262,6P,12665,12678.3,12691.6,12704.8,12718.1,12731.3
263,6P,12658.2,12671.5,12684.8,12698,12711.3,12724.5
264,6P,12651.4,12664.7,12678,12691.2,12704.5,12717.7
265,6P,12644.5,12657.9,12671.1,12684.4,12697.6,12710.8
266,6P,12637.7,12651,12664.3,12677.6,12690.8,12704
267,6P,12630.9,12644.2,12657.5,12670.8,12684,12697.2
268,6P,12624.1,12637.4,12650.7,12664,12677.2,12690.4
269,6P,12617.3,12630.6,12643.9,12657.2,12670.4,12683.6
270,6P,12610.5,12623.8,12637.1,12650.3,12663.6,12676.8
275,6P,12576.4,12589.7,12603,12616.3,12629.5,12642.7
280,6P,12542.4,12555.7,12569,12582.2,12595.4,12608.6
285,6P,12508.3,12521.6,12534.9,12548.2,12561.4,12574.6
290,6P,12474.2,12487.6,12500.8,12514.1,12527.3,12540.5
295,6P,12440.2,12453.5,12466.8,12480,12493.3,12506.5
300,6P,12406.1,12419.4,12432.7,12446,12459.2,12472.4
305,6P,12372.1,12385.4,12398.7,12411.9,12425.1,12438.3
310,6P,12338,12351.3,12364.6,12377.8,12391.1,12404.3
315,6P,12303.9,12317.2,12330.5,12343.8,12357,12370.2
320,6P,12269.9,12283.2,12296.5,12309.7,12322.9,12336.1
325,6P,12235.8,12249.1,12262.4,12275.7,12288.9,12302.1
330,6P,12201.8,12215.1,12228.3,12241.6,12254.8,12268
335,6P,12167.7,12181,12194.3,12207.5,12220.8,12233.9
340,6P,12133.6,12146.9,12160.2,12173.5,12186.7,12199.9
345,6P,12099.6,12112.9,12126.2,12139.4,12152.6,12165.8
350,6P,12065.5,12078.8,12092.1,12105.3,12118.6,12131.7
355,6P,12031.4,12044.8,12058,12071.3,12084.5,12097.7
360,6P,11997.4,12010.7,12024,12037.2,12050.4,12063.6
365,6P,11963.3,11976.6,11989.9,12003.2,12016.4,12029.5
370,6P,11929.3,11942.6,11955.9,11969.1,11982.3,11995.5
375,6P,11895.2,11908.5,11921.8,11935,11948.2,11961.4
380,6P,11861.1,11874.5,11887.7,11901,11914.2,11927.4
385,6P,11827.1,11840.4,11853.7,11866.9,11880.1,11893.3
390,6P,11793,11806.3,11819.6,11832.9,11846.1,11859.2
395,6P,11759,11772.3,11785.6,11798.8,11812,11825.2
400,6P,11724.9,11738.2,11751.5,11764.7,11777.9,11791.1
405,6P,11690.8,11704.1,11717.4,11730.7,11743.9,11757
410,6P,11656.8,11670.1,11683.4,11696.6,11709.8,11723
415,6P,11622.7,11636,11649.3,11662.5,11675.7,11688.9
420,6P,11588.6,11602,11615.2,11628.5,11641.7,11654.8
425,6P,11554.6,11567.9,11581.2,11594.4,11607.6,11620.8
